REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062285,20,Happy Hanukkah,46123,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062286,30,Chanukah Wishes,46123,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062289,35,Many Menorah,46123,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062284,45,From Family,46123,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062288,50,Wonderful Grandparents,46123,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Hanukkah,,,,3062287,60,Fun Grandma & Grandpa,46123,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062340,10,Baby Snowman,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062341,20,Baby Pink Tree,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062342,30,Baby Christmas Toys,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062343,40,Baby's First Christmas,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062344,50,Hug from Grandkid,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062345,60,From Grandkid,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062347,70,"From ""Grandpets""",46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062358,80,Wonderful Parents,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062359,90,Miss You. Mom and Dad,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062357,100,Happy Memories of Mom,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062349,110,Thanks. Dad,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062352,120,A Grandma's Love,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062353,130,Special Grandpa,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062354,140,Special Grandparents,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062355,150,Grandma and Grandpa,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062361,160,Love for Grandma,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062362,170,Love for Grandpa,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062348,180,For a Special Aunt,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062350,190,Favorite Aunt & Uncle,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062360,190,Special Uncle,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062346,200,From Family,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062351,210,Family Tree,46145,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062356,220,Close in Heart,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3062268,230,All My Love,46145,76,153,200,400,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062331,10,Smiling Santa,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062332,20,Pair of Trees,46146,153,76,400,200,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,General,,,3062333,30,Believe!,46146,153,76,400,200,INSIDEVERSE
