REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,HP Greeting Cards,Greeting Cards,Anniversary,,,3041205,10,Love Nest,45413,118,153,309,400,<b>Cover Verse:</b><br><br>Happy Anniversary.<br>Anne and Tom...<br><br><b>Inside Verse:</b><br><br>...from our love nest <br>to yours!<br>
XC,HP Greeting Cards,Greeting Cards,Anniversary,,,3025981,20,Celebrate Your Love!,45413,153,118,400,309,<b>Cover Verse:</b><br><br>Sam and Nancy.<br>A love like yours<br>is something to celebrate<br>every day...<br><br><b>Inside Verse:</b><br><br>...especially today.<br><br>Happy Anniversary
XC,HP Greeting Cards,Greeting Cards,Anniversary,,,3056282,30,Good Times<br>Add-a-Photo,45413,99,153,259,400,<b>Cover Verse:</b><br><br>Mark<br>&<br>Tina.<br>May you<br>always<br>remember<br>the good<br>times...<br><br><b>Inside Verse:</b><br><br>...and always make more<br>good times to remember!<br><br>Happy Anniversary
XC,HP Greeting Cards,Greeting Cards,Anniversary,,,3056293,40,Happy Couple<br>Add-a-Photo,45413,99,153,259,400,<b>Cover Verse:</b><br><br>Charlie and Helen<br>Still happily<br>married<br>after 50 years.<br><br><b>Inside Verse:</b><br><br>Geez...some people<br>will do anything<br>to be different.<br><br>Congratulations
XC,HP Greeting Cards,Greeting Cards,Baby,,,3041571,10,You Must Be Very Happy,45414,99,153,259,400,<b>Cover Verse:</b><br><br><br>To Welcome Your<br>New Baby Boy.<br>Jennifer and Craig<br><br>You must be very happy <br>Now your little son is here...<br><br><b>Inside Verse:</b><br><br>And may the joy you're sharing<br>Keep increasing year by year!
XC,HP Greeting Cards,Greeting Cards,Baby,,,3056283,20,Shining Stars<br>Add-a-Photo,45414,153,118,400,309,<b>Cover Verse:</b><br><br>May every star<br>that shines <br>in the night<br>shine for<br>Jessica Anne...<br><br><b>Inside Verse:</b><br><br>...with love. warmth<br>and happiness!<br><br>Congratulations. Tim & Anne!<br>
XC,HP Greeting Cards,Greeting Cards,Baby,,,3056294,30,What Baby Is Saying<br>Add-a-Photo,45414,99,153,259,400,"<b>Cover Verse:</b><br><br>What Baby Sam Is Saying<br><br>I'm hungry!<br><br>I'm wet!<br><br>I'm worse than wet!<br><br>I'm tired!<br><br>I'm lonely!<br><br>It's 2:00 a.m. and I'm lonely!<br><br>I'm happy!<br><br>I'm sleepy!<br><br> Everything's perfect!<br><br><b>Inside Verse:</b><br><br>John and Kathy.<br>just keep this card handy<br> at all times.<br>and you should have<br>no problem<br>with this ""new baby"" thing."
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3041961,10,You Make Birthdays Special,45415,118,153,309,400,<b>Cover Verse:</b><br><br>Bruce. <br>what makes birthdays<br>special?<br><br><b>Inside Verse:</b><br><br>You.<br>
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3042977,15,What We Wish for You<br>Add-a-Photo,45415,99,153,259,400,<b>Cover Verse:</b><br><br>Matthew.<br>We all think you're special...<br><br><b>Inside Verse:</b><br><br>...and we wish you<br> a Birthday<br>you'll remember<br>as one of your best.<br>and the happiness<br>you deserve<br>each day<br>of the year.<br><br>Enjoy!<br>
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3041942,30,Day That's All for You,45415,153,99,400,259,<b>Cover Verse:</b><br><br>Happy Birthday<br><br><b>Inside Verse:</b><br><br>Sean.<br>enjoy each special moment<br>of this day that's all for you!
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3056284,40,Wonderful Moments<br>Add-a-Photo,45415,118,153,309,400,<b>Cover Verse:</b><br><br>Happy Birthday. Sandy!<br><br><b>Inside Verse:</b><br><br>Hope your birthday<br>is filled with<br>wonderful moments!
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3056285,50,You and Me<br>Add-a-Photo,45415,153,99,400,259,<b>Cover Verse:</b><br><br>You and Me. way back when...<br>Happy Birthday. Dana<br><br><b>Inside Verse:</b><br><br>The maturity level<br>hasn't really changed<br>a bit. has it?<br><br>Happy Birthday<br>to a Terrific Friend
XC,HP Greeting Cards,Greeting Cards,Birthday,,,3056295,60,A Million Happy Days<br>Add-a-Photo,45415,99,153,259,400,<b>Cover Verse:</b><br><br>Surprise. Kelly!<br><br><b>Inside Verse:</b><br><br>Wishing you<br>a bright and happy birthday<br>and a million happy tomorrows!
XC,HP Greeting Cards,Greeting Cards,Congratulations,,,3056297,20,You're A Star!<br>Add-a-Photo,45416,99,153,259,400,<b>Cover Verse:</b><br><br>Mary<br><br>You're A Star!<br><br><b>Inside Verse:</b><br><br>Congratulations!
XC,HP Greeting Cards,Greeting Cards,Friendship,,,3021692,5,The Coolest Friend<br>Add-a-Photo,45417,99,153,259,400,"<b>Cover Verse:</b><br>Becky.<br>Of all the friends<br>	in the world...<br><br><b>Inside Verse:</b><br>You're definitely the coolest!<br>"
XC,HP Greeting Cards,Greeting Cards,Friendship,,,3041672,10,Always an Adventure!<br>Add-a-Photo,45417,99,153,259,400,<b>Cover Verse:</b><br><br>Stay Tuned.<br>                       Alex...<br><br>...for more exciting adventures<br>of the Alex and Morgan show!<br><br><b>Inside Verse:</b><br><br>Being friends with you<br>is always an adventure!<br>
XC,HP Greeting Cards,Greeting Cards,Friendship,,,3026478,30,You're Special,45417,118,153,309,400,<b>Cover Verse:</b><br>Thinking<br>of<br>you.<br>Kelly...<br><br><b>Inside Verse:</b><br> ...and remembering<br>all the things you do<br>that make you<br>someone special<br>in my life.
