REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,HP Projects,Greeting Cards,Anniversary,,,3041205,10,Love Nest,45451,118,153,309,400,<b>Cover Verse:</b><br><br>Happy Anniversary.<br>Anne and Tom...<br><br><b>Inside Verse:</b><br><br>...from our love nest <br>to yours!<br>
XC,HP Projects,Greeting Cards,Anniversary,,,3056282,20,Good Times<br>Add-a-Photo,45451,99,153,259,400,<b>Cover Verse:</b><br><br>Mark<br>&<br>Tina.<br>May you<br>always<br>remember<br>the good<br>times...<br><br><b>Inside Verse:</b><br><br>...and always make more<br>good times to remember!<br><br>Happy Anniversary
XC,HP Projects,Greeting Cards,Baby,,,3041571,10,You Must Be Very Happy,45452,99,153,259,400,<b>Cover Verse:</b><br><br><br>To Welcome Your<br>New Baby Boy.<br>Jennifer and Craig<br><br>You must be very happy <br>Now your little son is here...<br><br><b>Inside Verse:</b><br><br>And may the joy you're sharing<br>Keep increasing year by year!
XC,HP Projects,Greeting Cards,Baby,,,3056283,20,Shining Stars<br>Add-a-Photo,45452,153,118,400,309,<b>Cover Verse:</b><br><br>May every star<br>that shines <br>in the night<br>shine for<br>Jessica Anne...<br><br><b>Inside Verse:</b><br><br>...with love. warmth<br>and happiness!<br><br>Congratulations. Tim & Anne!<br>
XC,HP Projects,Greeting Cards,Birthday,,,3041961,10,You Make Birthdays Special,45453,118,153,309,400,<b>Cover Verse:</b><br><br>Bruce. <br>what makes birthdays<br>special?<br><br><b>Inside Verse:</b><br><br>You.<br>
XC,HP Projects,Greeting Cards,Birthday,,,3025557,20,Color It Happy!,45453,118,153,309,400,<b>Cover Verse:</b><br><br>Karen.<br>It's your birthday!<br><br><b>Inside Verse:</b><br><br>Color it<br>a hundred shades<br>of happy!
XC,HP Projects,Greeting Cards,Birthday,,,3056284,30,Wonderful Moments<br>Add-a-Photo,45453,118,153,309,400,<b>Cover Verse:</b><br><br>Happy Birthday. Sandy!<br><br><b>Inside Verse:</b><br><br>Hope your birthday<br>is filled with<br>wonderful moments!
XC,HP Projects,Greeting Cards,Birthday,,,3056285,40,You and Me<br>Add-a-Photo,45453,153,99,400,259,<b>Cover Verse:</b><br><br>You and Me. way back when...<br>Happy Birthday. Dana<br><br><b>Inside Verse:</b><br><br>The maturity level<br>hasn't really changed<br>a bit. has it?<br><br>Happy Birthday<br>to a Terrific Friend
XC,HP Projects,Greeting Cards,Congratulations,,,3021694,10,No Stopping You<br>Add-a-Photo,45454,99,153,259,400,<b>Cover Verse:</b><br><br>Congratulations.<br>Terry!<br><br><b>Inside Verse:</b><br><br>The sky's the limit!
XC,HP Projects,Greeting Cards,Friendship,,,3041672,10,Always an Adventure!<br>Add-a-Photo,45455,99,153,259,400,<b>Cover Verse:</b><br><br>Stay Tuned.<br>                       Alex...<br><br>...for more exciting adventures<br>of the Alex and Morgan show!<br><br><b>Inside Verse:</b><br><br>Being friends with you<br>is always an adventure!<br>
