REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067489,10,Wishes for Relative,52216,118,153,309,400,<b>Cover Verse:</b><br><br>Know what<br>I'm wishing<br>for Christmas<br>this year.<br>Stephanie?<br><br><b>Inside Verse:</b><br><br>...that everyone<br>in the whole wide world<br>could have a relative<br>as nice as you!<br><br>Merry Christmas<br>from My Heart to Yours<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067484,15,Forever Friend,52216,99,153,259,400,"<b>Cover Verse:</b><br><br>Merry Christmas<br>to Michelle.<br>My ""Forever Friend""<br><br><b>Inside Verse:</b><br><br>You're not just<br>a friend for today &#151;<br>you're a friend for life.<br>and that's why<br>I'm wishing you<br>a Christmas filled with<br>enough ""merry""<br>to last a lifetime!<br>"
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067490,20,To a Dear Relative,52216,99,153,259,400,<b>Cover Verse:</b><br><br>To a Dear Relative<br>with Love from Richard<br><br><b>Inside Verse:</b><br><br>For all the thoughtful<br>things you've done<br>and all the happiness<br>you've given.<br>this card comes<br>with a heart full of gratitude<br>and wishes for a<br>very merry Christmas.<br><br>Merry Christmas. John.<br>and Happy New Year<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067483,30,Magic of Friends,52216,99,153,259,400,<b>Cover Verse:</b><br><br>Jennifer.<br>it's not the trees or tinsel<br>that make the season special...<br><br><b>Inside Verse:</b><br><br>It's gentle friends like you<br>who bring a certain sparkle<br>to the holidays.<br>For in the warmth<br>of your bright spirit.<br>the magic of Christmas<br>is something real and true!<br><br>MERRY CHRISTMAS<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067488,60,Christmas Wishes,52216,99,153,259,400,<b>Cover Verse:</b><br><br>For the Peterson Family<br>at the Holidays<br><br>As you enjoy<br>the many gifts<br>that Christmas<br>brings your way &#151;<br>The smiles and joys<br>and family times<br>you'll share<br>this holiday...<br><br><b>Inside Verse:</b><br><br>Please know that you're<br>remembered<br>by those who lives<br>you touch...<br>And wished a world<br>of happiness &#151;<br>because you mean<br>so much.<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067487,80,Across the Miles<br>Add-a-Photo,52216,153,99,400,259,<b>Cover Verse:</b><br><br>For You. Dana. From Across the Miles<br><br><i>The Petersons</i><br><br><b>Inside Verse:</b><br><br>Though nothing ever takes the place<br>Of greetings spoken face to face.<br>Still. thoughts must sometimes cross the miles<br>And take the place of words and smiles...<br><br>So. on this Christmas holiday.<br>This card brings warmest thoughts your way.<br>Besides a little wish or two<br>That things are going well for you.<br><br>MERRY CHRISTMAS<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067481,90,Holy Night,52216,99,153,259,400,<b>Cover Verse:</b><br><br>Somewhere<br>in the flurry<br>of the season.<br>may we find time<br>to dream<br>about that blessed<br>holy night<br>that changed<br>the world...<br><br><b>Inside Verse:</b><br><br>Time to give thanks<br>with all our hearts<br>that God so loved the world.<br><br>Merry Christmas<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067482,100,Hope of Christ,52216,153,99,400,259,<b>Cover Verse:</b><br><br>For You.<br>Dana & Joe<br><br>The snow<br>falls soft<br>upon the night.<br>Reflecting<br>Christmas<br>joy and light.<br>The stars<br>look down<br>upon the earth.<br>Remembering<br>the Christ Child's<br>birth.<br><br><b>Inside Verse:</b><br><br>May the hope that was born<br>that silent. holy night<br>remain in your heart<br>throughout the year.<br><br>Merry Christmas<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067485,110,Celebrate the Season,52216,153,99,400,259,<b>Cover Verse:</b><br><br>Happy Holdiays<br>from the<br>Smith Family<br><br><b>Inside Verse:</b><br><br>May you celebrate<br>this beautiful season<br>with joy in your home.<br>peace in your world.<br>and love in your heart!<br>
XC,Holiday Greetings,Greeting Cards,Christmas,,,3067486,120,Jolly Santa,52216,153,118,400,309,<b>Cover Verse:</b><br><br>Ho!<br>Ho!<br>Ho!<br><br><b>Inside Verse:</b><br><br>You'd be jolly. too.<br>if you only had to work<br>one day a year!<br><br>Merry Christmas<br>
XC,Holiday Greetings,Greeting Cards,Season's Greetings,,,3067491,10,Season's Greetings,52217,118,153,309,400,<b>Cover Verse:</b><br><br>SEASON'S GREETINGS<br><br><b>Inside Verse:</b><br><br>To wish you<br>all the joys<br>your heart<br>can hold!<br>
XC,Holiday Greetings,Greeting Cards,Season's Greetings,,,3067492,20,Happy Holidays<br>Add-a-Photo,52217,153,99,400,259,<b>Cover Verse:</b><br><br>HAPPY HOLIDAYS<br><br><b>Inside Verse:</b><br><br>Wishing you<br>all the Season's best.<br>Michelle.<br>
XC,Holiday Greetings,Greeting Cards,New Year's,,,3067493,10,Happy Beginnings,52218,118,153,309,400,<b>Cover Verse:</b><br><br>Happy New Year<br><br><b>Inside Verse:</b><br><br>Hope this is<br>the happy beginning<br>of your most<br>wonderful year yet!<br>
XC,Holiday Greetings,Greeting Cards,New Year's,,,3067494,20,Wish for Peace<br>Add-a-Photo,52218,153,99,400,259,<b>Cover Verse:</b><br><br>Let peace fill<br>our hearts<br>and our homes<br>until it encircles<br>our world.<br><br><b>Inside Verse:</b><br><br>Wishing peace and happiness<br>for you and those you love<br>through all the days of the new year.<br>
XC,Holiday Greetings,Greeting Cards,Thanksgiving,,,3067479,10,Thanksgiving Blessings,52219,99,153,259,400,"<b>Cover Verse:</b><br><br>For You. Heather<br><br><i>""Bless friends<br>and loved ones.<br>near and far.<br>with all<br>the nicest things<br>there are.""</i><br><br><b>Inside Verse:</b><br><br>Happy Thanksgiving &#151;<br>and<br>God bless you<br>always!<br>"
XC,Holiday Greetings,Greeting Cards,Thanksgiving,,,3067480,20,Beautiful Day,52219,118,153,309,400,<b>Cover Verse:</b><br><br>Happy<br>Thanksgiving.<br>Julie<br><br><b>Inside Verse:</b><br><br>Thinking of you at Thanksgiving<br>In a warm and affectionate way.<br>And wishing you all the blessings<br>Of a beautiful. bountiful day!<br>
XC,Holiday Greetings,Greeting Cards,Thank You,,,3067827,10,Thank You,52220,99,153,259,400,<b>Cover Verse:</b><br><br>THANK YOU<br><br><b>Inside Verse:</b><br><br>Just a thank you note from me &#151;<br>Your gift was perfect as can be!
XE,Holiday Greetings,Envelopes,Half Fold Envelopes,,,3067495,10,Christmas Trees,52221,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,Holiday Greetings,Envelopes,Half Fold Envelopes,,,3067496,20,Blue Ornaments,52221,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
XE,Holiday Greetings,Envelopes,Half Fold Envelopes,,,3067498,30,Snowflakes,52221,153,95,400,248,<B>Envelopes</B> are the first things a recipient sees when getting mail. So it&#146;s worthwhile &#150; and fun &#150; to create. personalize. and print envelopes to go with cards and letters.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace.<BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Click <b>Add Page</b> for each additional envelope you want to create.<BR>4. Print your project.<BR><BR><B>Tips:</B><BR><BR>Envelopes can be used for mailing stationery. brochures. flyers. notes. greeting cards. and more.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR><BR>
