REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
LB,CD/DVD,Music,,,,3055280,10,City Girl,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055281,20,A Walk in the Rain,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055282,30,Nature in Harmony,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055283,40,Classical Themes,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055284,50,Explosion of Sound,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055285,60,Guitar Riff,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055286,70,Freaky. Funky Dancin',43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055287,80,Sing Out Loud and Proud!,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055288,90,Cowboy Croonin',43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
LB,CD/DVD,Music,,,,3055289,100,Westward Ho!,43558,153,153,400,400,<B>Labels</B> are an easy way to express your personality. Create & Print offers several kinds of commonly-used labels. from address and return address labels to CD-disk labels.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR><BR><B>Tips:</B><BR><BR>Print your labels on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR>
