REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,Disney,Greeting Cards,Birthday,,,3057516,10,Can't Stay Gloomy<br>Add-a-Photo,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Even Eeyore<br>can't stay<br>gloomy<br>on this day!<br><br><b>Inside Verse:</b><br><br>Why? Because it's your birthday!<br>Hoping your day is filled<br>with much happiness and fun!<br>We love you.<br>
XC,Disney,Greeting Cards,Birthday,,,3060286,20,Can't Stay Gloomy<br>Add-a-Photo<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Even Eeyore<br>can't stay<br>gloomy<br>on this day!<br><br><b>Inside Verse:</b><br><br>Why? Because it's your birthday!<br>Hoping your day is filled<br>with much happiness and fun!<br>We love you.<br>
XC,Disney,Greeting Cards,Birthday,,,3057518,30,Something Special,45902,153,99,400,259,<b>Cover Verse:</b><br><br>There's<br>something<br>special<br>about you!<br><br><b>Inside Verse:</b><br><br>Today is your birthday.<br>set aside especially for you!<br>No one else means as much to us<br>as you do!<br><br>Happy Birthday Susan!<br>
XC,Disney,Greeting Cards,Birthday,,,3060288,35,Something Special<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>There's<br>something<br>special<br>about you!<br><br><b>Inside Verse:</b><br><br>Today is your birthday.<br>set aside especially for you!<br>No one else means as much to us<br>as you do!<br><br>Happy Birthday Susan!<br>
XC,Disney,Greeting Cards,Birthday,,,3057519,40,Enjoy Your Day,45902,153,99,400,259,<b>Cover Verse:</b><br><br>It's the small<br>things that<br>make birthdays<br>special.<br><br><b>Inside Verse:</b><br><br>Take the time to enjoy<br>your special day!<br>We love you!<br>
XC,Disney,Greeting Cards,Birthday,,,3057521,50,Time to Celebrate!,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Sarah.<br>It's time<br>to celebrate!<br><br><b>Inside Verse:</b><br><br>Hoping your birthday<br>is overflowing<br>with all the fun<br>you can take!<br>
XC,Disney,Greeting Cards,Birthday,,,3060290,60,Time to Celebrate!<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Sarah.<br>It's time<br>to celebrate!<br><br><b>Inside Verse:</b><br><br>Hoping your birthday<br>is overflowing<br>with all the fun<br>you can take!<br>
XC,Disney,Greeting Cards,Birthday,,,3057522,70,Day of Surprises<br>Add-a-Photo,45902,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Birthday.<br>Matt!<br><br><b>Inside Verse:</b><br><br>Here's to hoping<br>the whole day<br>is one surprise<br>after another!<br>
XC,Disney,Greeting Cards,Birthday,,,3060291,80,Day of Surprises<br>Add-a-Photo<br>Borderless,45902,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Birthday.<br>Matt!<br><br><b>Inside Verse:</b><br><br>Here's to hoping<br>the whole day<br>is one surprise<br>after another!<br>
XC,Disney,Greeting Cards,Birthday,,,3057523,90,From the Whole Gang<br>Add-a-Photo,45902,153,99,400,259,<b>Cover Verse:</b><br><br>The gang's<br>all here!<br><br><b>Inside Verse:</b><br><br>From all of us.<br>we want to wish you<br>the happiest birthday<br>of all time!<br>
XC,Disney,Greeting Cards,Birthday,,,3060292,100,From the Whole Gang<br>Add-a-Photo<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>The gang's<br>all here!<br><br><b>Inside Verse:</b><br><br>From all of us.<br>we want to wish you<br>the happiest birthday<br>of all time!<br>
XC,Disney,Greeting Cards,Birthday,,,3057525,110,Dance and Play!,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Let's dance<br>and play!<br><br><b>Inside Verse:</b><br><br>Laugh and sing to make your birthday<br>one to be remembered forever!<br>
XC,Disney,Greeting Cards,Birthday,,,3060293,120,Dance and Play!<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Let's dance<br>and play!<br><br><b>Inside Verse:</b><br><br>Laugh and sing to make your birthday<br>one to be remembered forever!<br>
XC,Disney,Greeting Cards,Birthday,,,3057524,130,Wishing I Was There,45902,99,153,259,400,<b>Cover Verse:</b><br><br>Wishing I was there...<br><br><b>Inside Verse:</b><br><br>Although we are far apart.<br>I am thinking of you today.<br>May all your dreams<br>come true.<br><br>Happy Birthday!<br>
XC,Disney,Greeting Cards,Birthday,,,3057520,140,Best Friends<br>Add-a-Photo,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Dana.<br>It's your birthday!<br><br><b>Inside Verse:</b><br><br>Nothing is better than celebrating<br>with my best friend!<br><br>Happy Birthday!<br>
XC,Disney,Greeting Cards,Birthday,,,3060289,150,Best Friends<br>Add-a-Photo<br>Borderless,45902,153,99,400,259,<b>Cover Verse:</b><br><br>Dana.<br>It's your birthday!<br><br><b>Inside Verse:</b><br><br>Nothing is better than celebrating<br>with my best friend!<br><br>Happy Birthday!<br>
XC,Disney,Greeting Cards,Birthday,,,3057526,160,Thinking of You<br>Add-a-Photo,45902,99,153,259,400,<b>Cover Verse:</b><br><br>We're thinking of you.<br>Jill!<br><br><b>Inside Verse:</b><br><br>Here's to wishing you<br>that this day and everyday<br>is full of thrills<br>and excitement!<br><br>Happy Birthday!<br>
XC,Disney,Greeting Cards,Birthday,,,3060294,170,Thinking of You<br>Add-a-Photo<br>Borderless,45902,99,153,259,400,<b>Cover Verse:</b><br><br>We're thinking of you.<br>Jill!<br><br><b>Inside Verse:</b><br><br>Here's to wishing you<br>that this day and everyday<br>is full of thrills<br>and excitement!<br><br>Happy Birthday!<br>
XC,Disney,Greeting Cards,Birthday,,,3057527,180,Best Birthday Ever<br>Add-a-Photo,45902,99,153,259,400,"<b>Cover Verse:</b><br><br>""Gawrsh.<br>Look whose<br>birthday<br>it is!""<br><br><b>Inside Verse:</b><br><br>Goofy came by<br>just to wish you<br>the best birthday ever!<br><br>Have a wonderful birthday.<br>Billy!<br>"
XC,Disney,Greeting Cards,Birthday,,,3060295,190,Best Birthday Ever<br>Add-a-Photo<br>Borderless,45902,99,153,259,400,"<b>Cover Verse:</b><br><br>""Gawrsh.<br>Look whose<br>birthday<br>it is!""<br><br><b>Inside Verse:</b><br><br>Goofy came by<br>just to wish you<br>the best birthday ever!<br><br>Have a wonderful birthday.<br>Billy!<br>"
XC,Disney,Greeting Cards,Birthday,,,3057517,200,Something Magical<br>Add-a-Photo,45902,99,153,259,400,<b>Cover Verse:</b><br><br>There's<br>something<br>magical<br>about<br>this day!<br><br><b>Inside Verse:</b><br><br>Of course!<br>It's your birthday!<br>The day you were born<br>and we couldn't be<br>more proud<br>that you're our son!<br>
XC,Disney,Greeting Cards,Birthday,,,3060287,210,Something Magical<br>Add-a-Photo<br>Borderless,45902,99,153,259,400,<b>Cover Verse:</b><br><br>There's<br>something<br>magical<br>about<br>this day!<br><br><b>Inside Verse:</b><br><br>Of course!<br>It's your birthday!<br>The day you were born<br>and we couldn't be<br>more proud<br>that you're our son!<br>
HP,Disney,Notecards,Baby,,,3057461,30,Look Who Has Arrived<br>Add-a-Photo,45896,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
HP,Disney,Notecards,Baby,,,3057462,40,It's a Boy!,45896,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
HP,Disney,Notecards,Baby,,,3057464,50,Ain't She a Cutie?<br>Add-a-Photo,45896,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
HP,Disney,Notecards,Baby,,,3057463,60,Beautiful New Baby,45896,153,102,400,266,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
HP,Disney,Notecards,Baby,,,3057469,70,Can't Help But Smile<br>Add-a-Photo,45896,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
HP,Disney,Notecards,Baby,,,3057470,75,To Congratulate You,45896,102,153,266,400,A variety of beautiful <B>notes </B>can be customized with a personal message and printed with Create & Print.<BR><BR><B>You'll need:</B> Paper. 8 1/2 x 11 inches. preferably cardstock.<BR><BR><B>Directions:</B><BR><BR>1. Click on <B>Personalize Your Project</B> to open the Create & Print workspace. <BR>2. Personalize the text. Select the text to write over it or change size. color. and font style.<BR>3. Print your project.<BR>4. Your project can be printed as a half-fold note or a quarter-fold note. Fold according to the printed size. <BR><BR><B>Tips:</B><BR><BR>Special paper. scored for folding in half or quarters. is available at most craft or office supply stores.<BR><BR>If you&#146;re using card stock rather than scored paper. use a straight edge to create crisp. professional-looking folds.<BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project. <BR><BR><BR>
