REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
XC,Half Fold Greetings,Anniversary,,,,3040627,10,Wonderful Years Together,46532,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Anniversary.<br>Gretchen and Neil<br><br><br><b>Inside Verse:</b><br><br>Thinking of the two of you<br>on this happy occasion<br>and wishing you<br>many more wonderful years together.<br>Congratulations
XC,Half Fold Greetings,Anniversary,,,,3041206,30,You Have Everything,46532,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Anniversary<br>to a couple<br>who has everything...<br><br><b>Inside Verse:</b><br><br>...happiness. love.<br>and each other!<br>
XC,Half Fold Greetings,Anniversary,,,,3040629,40,True Love is a Gift,46532,99,153,259,400,<b>CoverVerse:</b><br><br>God Be with You.<br>Candice and Greg.<br>on Your Anniversary<br><br>True love<br>is a gift.<br>from the heart<br>of God.<br><br><b>Inside Verse:</b><br><br>God be with you<br>as you celebrate<br>this day so dear to you;<br> A day that's filled with memories<br>of a love that's deep and true.<br>God be with you<br>through the years ahead.<br>and may He always bless<br>Your lives with joy.<br>your hearts with love.<br>your world with happiness.
XC,Half Fold Greetings,Anniversary,,,,2014807,70,Rendevous,46532,95,153,250,400,<b>Cover Verse:</b><br>An Anniversary Wish. Debbie and Glenn<br><br><br><b>Inside Verse:</b><br>Wishing you a sweet celebration to share on your special day. and bunches of love and joy to share always. Happy Anniversary<br>
XC,Half Fold Greetings,Anniversary,,,,3041197,80,Anniversary on the Run,46532,99,153,259,400,<b>Cover Verse:</b><br><br>Happy Anniversary.<br>Honey!<br><br><b>Inside Verse:</b><br><br>And you thought <br>the wedding day<br>was hectic. <br><br>Love You!
XC,Half Fold Greetings,Anniversary,,,,3040637,90,Better and Better,46532,153,99,400,259,<b>CoverVerse:</b><br><br>For You.<br>Andrea.<br>on Our Anniversary<br><br>Our Love<br>Grows<br>More Beautiful<br>with Time<br><br><b>Inside Verse:</b><br><br>When I first fell in love with you.<br>I thought life was as good<br>as it could get.<br>I loved you. you loved me.<br>and nothing else in the world<br>seemed to matter.<br>I never imagined<br>how much better<br>I'd come to know you.<br>care about you.<br>and love you...<br><br>When I first fell in love with you.<br>I thought our love<br>was as good as it could get.<br>But it just gets better<br>all the time.<br><br>Happy Anniversary<br>with All My Love
XC,Half Fold Greetings,Anniversary,,,,3041198,110,My Friend. My Love,46532,153,99,400,259,<b>Cover Verse:</b><br><br>Charlie.<br>my anniversary gift<br>to you<br>is simply this --<br>all my love<br>with all my heart.<br>all for you...<br><br><b>Inside Verse:</b><br><br>...because today<br>and forever.<br>you are my dear husband.<br>my best friend.<br>and my one and only love.<br>
XC,Half Fold Greetings,Anniversary,,,,3056282,120,Good Times<br>Add-a-Photo,46532,99,153,259,400,<b>Cover Verse:</b><br><br>Mark<br>&<br>Tina.<br>May you<br>always<br>remember<br>the good<br>times...<br><br><b>Inside Verse:</b><br><br>...and always make more<br>good times to remember!<br><br>Happy Anniversary
XC,Half Fold Greetings,Baby,,,,3057445,10,Pitter-Patter,46533,99,153,259,400,<b>Cover Verse:</b><br><br>A Baby-Shower Gift<br>for You.<br>Michelle<br><br>Soon your place<br>will be filled<br>with the pitter-patter<br>of sweet little feet...<br><br><b>Inside Verse:</b><br><br>...and lots and lots<br>of love!<br><br>Best Wishes<br>and Congratulations<br>
XC,Half Fold Greetings,Baby,,,,3056294,20,What Baby Is Saying<br>Add-a-Photo,46533,99,153,259,400,"<b>Cover Verse:</b><br><br>What Baby Sam Is Saying<br><br>I'm hungry!<br><br>I'm wet!<br><br>I'm worse than wet!<br><br>I'm tired!<br><br>I'm lonely!<br><br>It's 2:00 a.m. and I'm lonely!<br><br>I'm happy!<br><br>I'm sleepy!<br><br> Everything's perfect!<br><br><b>Inside Verse:</b><br><br>John and Kathy.<br>just keep this card handy<br> at all times.<br>and you should have<br>no problem<br>with this ""new baby"" thing."
XC,Half Fold Greetings,Baby,,,,3057438,30,Cutest New Baby,46533,153,99,400,259,<b>Cover Verse:</b><br><br>Congratulations...<br><br><b>Inside Verse:</b><br><br>To the cutest new baby<br>anywhere.<br>And the lucky<br>mama and papa pair!<br><br>Wishes from Hannah<br>for a Happy Life Together<br>
XC,Half Fold Greetings,Baby,,,,3057441,35,Babies are...,46533,99,153,259,400,<b>Cover Verse:</b><br><br>Babies are cuddles<br>and memories to keep.<br>(three a.m. feedings<br>and too little sleep).<br>Babies are laughter<br>and smiles to share.<br>(and bottles. and booties.<br>and bibs everywhere)!<br><br><b>Inside Verse:</b><br><br>Babies are sweet.<br>and though they are small.<br>They fill up your heart &#151;<br>and your house &#151;<br>wall-to-wall.<br><br>Congratulations. Beth and Eric.<br>on Your New Baby<br>
XC,Half Fold Greetings,Baby,,,,3057453,50,New Little Girl,46533,153,99,400,259,<b>Cover Verse:</b><br><br>A New Little Girl<br>in the<br>McFadden Home<br><br><b>Inside Verse:</b><br><br>Now your place is filled<br>with the pitter-patter<br>of sweet little feet<br>and lots and lots<br>of love!<br><br>Warmest Wishes to You<br>
XC,Half Fold Greetings,Baby,,,,3025850,55,A Wonderful Baby Boy,46533,153,99,400,259,<b>Cover Verse:</b><br><br>Best Wishes.<br>Lynn and Brian.<br>on the Birth<br>of Christopher<br><br>What a<br>wonderful gift.<br>What a<br>wonderful joy...<br><br><b>Inside Verse:</b><br><br>What a wonder he is &#151;<br>Your sweet baby boy!
XC,Half Fold Greetings,Baby,,,,3025859,80,What Is a Baby Girl?,46533,99,153,259,400,<b>Cover Verse:</b><br><br>Katie Marie Robinson<br><br><b>G</b> is for her gentleness.<br>her tiny hand's soft touch.<br><br><b>I</b> is for her innocence<br>that warms your heart so much.<br><br><b>R</b> is for her radiance.<br>her cute and precious face.<br><br><b>L</b> is for the love<br>that makes your world<br>a sweeter place.<br><br><b>Inside Verse:</b><br><br>Congratulations.<br>Robert and Wendy!
XC,Half Fold Greetings,Baby,,,,3041569,85,"B Is for ""Boy""",46533,99,153,259,400,<b>Cover Verse:</b><br><br>B is for baby-blue<br>bundle of joy.<br>Placed in your arms<br>as they say. &#147;It's a boy!&#148;<br><br>O is for openly smiling<br>with pride<br>And all of the wonder<br>and love you can't hide.<br><br>Y is for &#147;Yes... dreams<br>can really come true&#148; &#151;<br>Just like this beautiful dream has for you.<br><br><b>Inside Verse:</b><br><br>Samantha.<br>May your dear little boy.<br>so precious and new.<br>Bring a whole world<br>of wonderful pleasures to you. <br><br>
XC,Half Fold Greetings,Baby,,,,3057450,90,Heaven-sent Parents,46533,153,99,400,259,<b>Cover Verse:</b><br><br>Ed and Maggie &#151;<br>Your Baby Is Blessed<br><br>Loving parents<br>don&#146;t just happen&#151;<br>they&#146;re appointed by God.&#148;<br><br><b>Inside Verse:</b><br><br>Heaven<br>must have<br>handpicked you<br>for the job!<br><br>Congratulations<br>
XC,Half Fold Greetings,Birthday,Anyone,,,3042977,10,What We Wish for You<br>Add-a-Photo,46552,99,153,259,400,<b>Cover Verse:</b><br><br>Matthew.<br>We all think you're special...<br><br><b>Inside Verse:</b><br><br>...and we wish you<br> a Birthday<br>you'll remember<br>as one of your best.<br>and the happiness<br>you deserve<br>each day<br>of the year.<br><br>Enjoy!<br>
XC,Half Fold Greetings,Birthday,Anyone,,,3057591,20,A Birthday Wish,46552,99,153,259,400,<b>Cover Verse:</b><br><br>On Your<br>Birthday.<br>Stephanie.<br>Because<br>You're<br>Special<br>to Me<br><br><b>Inside Verse:</b><br><br>A birthday wish to tell you<br>that you mean so much to me.<br>For you have that extra something<br>that I hardlly ever see &#151;<br>It's a warmth. an honest caring.<br>that draws others close to you<br>And makes you someone special<br>every day the whole year through!<br><br>Have a Wonderful Birthday<br>
XC,Half Fold Greetings,Birthday,Anyone,,,3057592,25,Best Birthday Ever,46552,153,99,400,259,"<b>Cover Verse:</b><br><br>""My best<br>birthday<br>would be<br>if I could<br>go to the<br>amusement<br>park and<br>stay there<br>for my<br>whole life!""<br><i>Aaron. Age 6</i><br><br><b>Inside Verse:</b><br><br>No matter how you spend it.<br>Sharon.<br>hope this is<br>your best Birthday ever!<br>"
