REPORT_TYPE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LEVEL_5,Product Number,PRODUCT_SEQUENCE,TITLE,PATHNUMBER,SMALL_X,SMALL_Y,LARGE_X,LARGE_Y,INSIDEVERSE
HL,Holiday Greeting Cards,Christmas,Family,,,3080879,10,Tinsel and Stripes<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080880,20,Christmas Trees<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080881,30,Christmas Icons<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080882,40,Tiny Tree<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080883,50,Christmas Gifts<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3062346,55,From Family,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080884,60,Merry Christmas<br>Borderless,46145,76,153,200,400,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080886,70,Love for Grandparents<br>Borderless,46145,76,153,200,400,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080885,80,Special Grandparents<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
HL,Holiday Greeting Cards,Christmas,Family,,,3080889,85,Love for Parents<br>Borderless,46145,153,76,400,200,<B>Photo Cards</B> are a great way to combine your greeting with a favorite photo.<BR><BR><B>You'll Need:</B> 4 x 8 1/2 Photo Card Paper.<BR><BR><B>Directions:</B><BR><BR><OL><LI>Click<B> Personalize and Print Your Project</B> to open the Creative Workspace.</LI><LI>Make text changes as desired.</LI><LI><B>Double click</B> on the Add-a-Photo message to add your digital photo.</LI><LI>Click <B>Print</B> to send your finished <B>Photo Card</B> greeting to the printer.</LI></OL><B>Note:</B> Please follow the print directions on the Photo Card package for exact printing.<BR><BR><B>Tips:</B><BR><BR>Print your project on scrap paper first to check the alignment. spelling. and overall look of the project.<BR>
