In Dev/Work/Stage?,In PDB?,,Asset Location (in Dev/Work/Stage…not PDB),PRODUCT
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043887/,3043887
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043888/,3043888
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043889/,3043889
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043890/,3043890
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043891/,3043891
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3043892/,3043892
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044565/,3044565
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044566/,3044566
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044567/,3044567
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044568/,3044568
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044569/,3044569
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044570/,3044570
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044571/,3044571
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044572/,3044572
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044573/,3044573
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044574/,3044574
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044575/,3044575
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044576/,3044576
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044577/,3044577
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044578/,3044578
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044579/,3044579
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044580/,3044580
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044581/,3044581
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044582/,3044582
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044583/,3044583
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044584/,3044584
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044585/,3044585
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044586/,3044586
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044587/,3044587
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044588/,3044588
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044589/,3044589
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044590/,3044590
Yes,Yes,,/disk2/websites/american/html/greetingcard/cardgifs/full/ap/3044591/,3044591
